Timp,CPU%,Memorie%,Disk%,DiskIO,Net_RX/Net_TX,Top_CPU,Top_MEM,Cronjobs,Porturi,Procese_root,Fisiere_modificate,Pachete_noi,Status_nginx
2025-07-07 10:35:03,0,11.82,66%,,"2848967 574610","   1859 cinnamon        94.1;   2130 firefox-bin     19.3;   1295 Xorg             8.6;|   2130 firefox-bin      3.6;   1859 cinnamon         2.4;   2426 Isolated Web Co  2.2;",23,3,187,"passwd hosts ","",NU_RULEAZA
2025-07-07 10:36:33,0,12.19,66%,0,"3703811 681482","   1859 cinnamon        92.6;   2130 firefox-bin     15.9;   2426 Isolated Web Co  8.4;|   2130 firefox-bin      3.6;   2426 Isolated Web Co  2.6;   1859 cinnamon         2.4;",25,3,187,"passwd hosts ","",NU_RULEAZA
2025-07-07 10:36:48,0,11.91,66%,0,"3704682 681977","   1859 cinnamon        87.9;   2130 firefox-bin     15.1;   2426 Isolated Web Co  7.9;|   2130 firefox-bin      3.6;   1859 cinnamon         2.4;   2426 Isolated Web Co  2.3;",27,3,193,"passwd shadow hosts ","",NU_RULEAZA
2025-07-07 10:39:18,0,12.08,66%,0,"3800753 871075","   1859 cinnamon        82.2;   2130 firefox-bin     13.3;   2426 Isolated Web Co  8.2;|   2130 firefox-bin      3.7;   1859 cinnamon         2.4;   2426 Isolated Web Co  2.4;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 10:46:29,12,12.77,66%,0,"3985073 1262049","   1859 cinnamon        67.3;   2130 firefox-bin     10.7;   2426 Isolated Web Co  7.6;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.4;",25,3,176,"OK","",NU_RULEAZA
2025-07-07 10:47:30,13,13.20,66%,0,"4050949 1382859","   1859 cinnamon        67.3;   2130 firefox-bin     10.5;   2426 Isolated Web Co  7.9;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  3.1;   1859 cinnamon         2.4;",25,3,176,"OK","",NU_RULEAZA
2025-07-07 10:50:33,65,13.92,66%,0,"4118735 1564300","   1859 cinnamon        65.8;   2130 firefox-bin     10.1;   2426 Isolated Web Co  8.0;|   2426 Isolated Web Co  4.0;   2130 firefox-bin      4.0;   1859 cinnamon         2.4;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:50:49,9,14.14,66%,0,"4121334 1577493","   1859 cinnamon        66.4;   2130 firefox-bin     10.2;   2426 Isolated Web Co  8.0;|   2426 Isolated Web Co  4.0;   2130 firefox-bin      4.0;   1859 cinnamon         2.5;",25,3,176,"OK","",NU_RULEAZA
2025-07-07 10:51:50,1,13.23,66%,0,"4169216 1701959","   1859 cinnamon        65.6;   2130 firefox-bin     10.2;   2426 Isolated Web Co  8.2;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:52:51,0,13.18,66%,0,"4172331 1705740","   1859 cinnamon        62.4;   2130 firefox-bin      9.7;   2426 Isolated Web Co  7.8;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:53:53,0,13.19,66%,0,"4172697 1706106","   1859 cinnamon        59.6;   2130 firefox-bin      9.3;   2426 Isolated Web Co  7.5;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,174,"OK","",NU_RULEAZA
2025-07-07 10:54:54,0,13.20,66%,0,"4173483 1706994","   1859 cinnamon        57.0;   2130 firefox-bin      8.9;   2426 Isolated Web Co  7.1;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,174,"OK","",NU_RULEAZA
2025-07-07 10:55:55,0,13.20,66%,0,"4173979 1707154","   1859 cinnamon        54.5;   2130 firefox-bin      8.5;   2426 Isolated Web Co  6.9;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,175,"OK","",NU_RULEAZA
2025-07-07 10:56:56,0,12.90,66%,0,"4174854 1707649","   1859 cinnamon        52.3;   2130 firefox-bin      8.2;   2426 Isolated Web Co  6.6;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 10:57:58,0,12.90,66%,0,"4174992 1707731","   1859 cinnamon        50.3;   2130 firefox-bin      7.8;   2426 Isolated Web Co  6.4;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 10:58:59,0,12.91,66%,0,"4174992 1707731","   1859 cinnamon        48.5;   2130 firefox-bin      7.5;   2426 Isolated Web Co  6.2;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.8;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:00:00,21,13.29,66%,0,"4206927 1758536","   1859 cinnamon        47.7;   2130 firefox-bin      7.5;   2426 Isolated Web Co  6.2;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.2;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:01:01,0,13.07,66%,0,"4219252 1797054","   1859 cinnamon        47.3;   2130 firefox-bin      7.4;   2426 Isolated Web Co  6.1;|   2130 firefox-bin      3.9;   2426 Isolated Web Co  2.9;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:02:02,0,13.22,66%,0,"4242631 1819784","   1859 cinnamon        46.4;   2130 firefox-bin      7.2;   2426 Isolated Web Co  6.0;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.0;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:03:04,0,14.31,66%,0,"4278753 1904277","   1859 cinnamon        46.5;   2130 firefox-bin      7.3;   2426 Isolated Web Co  6.3;|   2426 Isolated Web Co  4.0;   2130 firefox-bin      4.0;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:04:05,1,13.84,66%,0,"4305727 1949117","   1859 cinnamon        46.7;   2130 firefox-bin      7.4;   2426 Isolated Web Co  6.3;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.7;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:05:06,3,13.64,66%,0,"4349171 2019645","   1859 cinnamon        47.9;   2130 firefox-bin      7.6;   2426 Isolated Web Co  6.4;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.4;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:06:07,12,13.47,66%,0,"4381888 2097733","   1859 cinnamon        48.6;   2130 firefox-bin      7.6;   2426 Isolated Web Co  6.7;|   2130 firefox-bin      4.0;   2426 Isolated Web Co  3.1;   1859 cinnamon         2.5;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:07:09,8,14.06,66%,0,"4467989 2264556","   1859 cinnamon        49.6;   2130 firefox-bin      7.8;   2426 Isolated Web Co  7.0;|   2130 firefox-bin      4.1;   2426 Isolated Web Co  3.7;   1859 cinnamon         2.5;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:08:10,0,14.51,66%,0,"4650313 2587471","   1859 cinnamon        50.3;   2130 firefox-bin      7.9;   2426 Isolated Web Co  7.3;|   2426 Isolated Web Co  4.3;   2130 firefox-bin      4.1;   1859 cinnamon         2.5;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:09:11,4,13.77,66%,0,"4704790 2690659","   1859 cinnamon        51.0;   2130 firefox-bin      8.0;   2426 Isolated Web Co  7.4;|   2130 firefox-bin      4.1;   2426 Isolated Web Co  3.5;   1859 cinnamon         2.5;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:10:12,60,14.13,66%,0,"4785251 2826676","   1859 cinnamon        51.7;   2130 firefox-bin      8.0;   2426 Isolated Web Co  7.6;|   2130 firefox-bin      4.1;   2426 Isolated Web Co  3.8;   1859 cinnamon         2.5;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:11:13,5,13.92,66%,0,"4806462 2878611","   1859 cinnamon        53.1;   2130 firefox-bin      8.1;   2426 Isolated Web Co  7.8;|   2130 firefox-bin      4.1;   2426 Isolated Web Co  3.5;   1859 cinnamon         2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:12:10,4,13.97,66,0,3,180,2299,25
2025-07-07 11:12:15,0,13.98,66%,0,"4811626 2904022","   1859 cinnamon        53.4;   2130 firefox-bin      8.2;   2426 Isolated Web Co  7.7;|   2130 firefox-bin      4.1;   2426 Isolated Web Co  3.5;   1859 cinnamon         2.5;",25,3,178,"OK","",NU_RULEAZA
2025-07-07 11:13:16,0,14.06,66%,0,"4854927 3009402","   1859 cinnamon        53.5;   2130 firefox-bin      8.2;   2426 Isolated Web Co  7.8;|   2130 firefox-bin      4.2;   2426 Isolated Web Co  3.6;   1859 cinnamon         2.5;",25,3,174,"OK","",NU_RULEAZA
2025-07-07 11:14:17,1,7.30,66%,0,"4869049 3042396","   1859 cinnamon        52.8;   1295 Xorg             4.9;   4470 gnome-terminal-  0.4;|   1859 cinnamon         2.5;   1295 Xorg             1.4;   2581 mintUpdate       0.7;",25,3,178,"OK","",NU_RULEAZA
2025-07-07 11:15:18,0,12.71,66%,0,"6138620 3534538","   1859 cinnamon        52.6;   6809 firefox-bin     21.5;   7033 Isolated Web Co 19.6;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  3.2;   1859 cinnamon         2.6;",25,3,179,"OK","",NU_RULEAZA
2025-07-07 11:16:20,0,12.62,66%,0,"6146322 3543024","   1859 cinnamon        51.5;   6809 firefox-bin      9.6;   7033 Isolated Web Co  8.5;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  3.1;   1859 cinnamon         2.6;",25,3,178,"OK","",NU_RULEAZA
2025-07-07 11:17:21,0,12.62,66%,0,"6150237 3546563","   1859 cinnamon        50.3;   6809 firefox-bin      6.2;   7033 Isolated Web Co  5.4;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  3.1;   1859 cinnamon         2.6;",25,3,177,"OK","",NU_RULEAZA
2025-07-07 11:18:22,0,12.59,66%,0,"6152670 3549483","   1859 cinnamon        49.2;   1295 Xorg             4.6;   6809 firefox-bin      4.5;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  3.1;   1859 cinnamon         2.6;",25,3,177,"OK","",NU_RULEAZA
2025-07-07 11:19:23,0,12.59,66%,0,"6152970 3549834","   1859 cinnamon        48.2;   1295 Xorg             4.5;   6809 firefox-bin      3.6;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  3.1;   1859 cinnamon         2.6;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:20:25,0,12.32,66%,0,"6155405 3552588","   1859 cinnamon        47.2;   1295 Xorg             4.4;   6809 firefox-bin      3.0;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:21:26,0,12.30,66%,0,"6155558 3552741","   1859 cinnamon        46.2;   1295 Xorg             4.4;   6809 firefox-bin      2.6;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:22:27,0,12.31,66%,0,"6156886 3553740","   1859 cinnamon        45.2;   1295 Xorg             4.3;   6809 firefox-bin      2.2;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:23:28,1,12.31,66%,0,"6156946 3553800","   1859 cinnamon        44.4;   1295 Xorg             4.2;   6809 firefox-bin      2.0;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:24:30,0,12.31,66%,0,"6156946 3553800","   1859 cinnamon        43.5;   1295 Xorg             4.1;   6809 firefox-bin      1.8;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:25:31,0,12.31,66%,0,"6157580 3554042","   1859 cinnamon        42.7;   1295 Xorg             4.0;   6809 firefox-bin      1.6;|   6809 firefox-bin      3.5;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:26:32,7,12.93,66%,0,"7934782 3904414","   1859 cinnamon        43.1;   1295 Xorg             4.1;   6809 firefox-bin      2.6;|   6809 firefox-bin      3.7;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,174,"OK","",NU_RULEAZA
2025-07-07 11:27:33,0,12.82,66%,0,"7940005 3908824","   1859 cinnamon        42.3;   1295 Xorg             4.0;   6809 firefox-bin      2.5;|   6809 firefox-bin      3.7;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:28:35,0,12.83,66%,0,"7943107 3911926","   1859 cinnamon        41.6;   1295 Xorg             3.9;   6809 firefox-bin      2.3;|   6809 firefox-bin      3.7;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:29:36,0,12.81,66%,0,"7946605 3916082","   1859 cinnamon        40.9;   1295 Xorg             3.9;   6809 firefox-bin      2.2;|   6809 firefox-bin      3.7;   7033 Isolated Web Co  2.9;   1859 cinnamon         2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:30:37,0,14.96,66%,0,"8437786 4114516","   1859 cinnamon        41.0;   1295 Xorg             3.9;   6809 firefox-bin      3.1;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.6;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:31:38,0,14.11,66%,0,"8450600 4121675","   1859 cinnamon        40.3;   1295 Xorg             3.9;   6809 firefox-bin      3.0;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:32:40,0,14.90,66%,0,"8684057 4158240","   1859 cinnamon        39.9;   1295 Xorg             3.8;   6809 firefox-bin      3.1;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:33:41,0,14.92,66%,0,"8825229 4178543","   1859 cinnamon        39.5;   1295 Xorg             3.8;   6809 firefox-bin      3.0;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:34:42,0,14.93,66%,0,"8826475 4179611","   1859 cinnamon        38.9;   1295 Xorg             3.7;   6809 firefox-bin      2.9;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:35:43,0,14.84,66%,0,"8828046 4180775","   1859 cinnamon        38.3;   1295 Xorg             3.7;   6809 firefox-bin      2.8;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:36:44,0,14.84,66%,0,"8841397 4206072","   1859 cinnamon        37.7;   1295 Xorg             3.6;   6809 firefox-bin      2.7;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.5;",25,3,173,"OK","",NU_RULEAZA
2025-07-07 11:37:46,0,14.66,66%,0,"8842262 4206881","   1859 cinnamon        37.1;   1295 Xorg             3.5;   6809 firefox-bin      2.5;|   6809 firefox-bin      4.1;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.3;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:38:47,0,15.47,66%,0,"9379567 4292616","   1859 cinnamon        37.0;   1295 Xorg             3.5;   6809 firefox-bin      2.8;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.3;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:39:48,0,15.41,66%,0,"9381803 4294770","   1859 cinnamon        36.4;   1295 Xorg             3.5;   6809 firefox-bin      2.7;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.3;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:40:49,0,15.42,66%,0,"9383561 4296264","   1859 cinnamon        35.9;   1295 Xorg             3.4;   6809 firefox-bin      2.6;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.3;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:41:51,0,15.43,66%,0,"9386084 4298247","   1859 cinnamon        35.4;   1295 Xorg             3.4;   6809 firefox-bin      2.5;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.3;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:42:52,0,15.44,66%,0,"9386224 4298331","   1859 cinnamon        34.9;   1295 Xorg             3.3;   6809 firefox-bin      2.5;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.3;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:43:54,0,15.45,66%,0,"9386424 4298475","   1859 cinnamon        34.4;   1295 Xorg             3.3;   6809 firefox-bin      2.4;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:44:55,0,15.46,66%,0,"9387220 4299195","   1859 cinnamon        33.9;   1295 Xorg             3.3;   6809 firefox-bin      2.3;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:45:56,0,15.45,66%,0,"9387796 4299559","   1859 cinnamon        33.5;   1295 Xorg             3.2;   6809 firefox-bin      2.2;|   6809 firefox-bin      4.3;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:46:58,0,15.46,66%,0,"9388871 4300198","   1859 cinnamon        33.0;   1295 Xorg             3.2;   6809 firefox-bin      2.1;|   6809 firefox-bin      4.4;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:47:59,2,15.32,66%,0,"9394678 4303728","   1859 cinnamon        32.6;   1295 Xorg             3.1;   6809 firefox-bin      2.1;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:49:00,0,15.30,66%,0,"9394877 4303931","   1859 cinnamon        32.1;   1295 Xorg             3.1;   6809 firefox-bin      2.0;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:50:01,0,15.31,66%,0,"9395214 4304216","   1859 cinnamon        31.7;   1295 Xorg             3.0;   6809 firefox-bin      2.0;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 11:51:03,0,15.31,66%,0,"9395849 4304521","   1859 cinnamon        31.3;   1295 Xorg             3.0;   6809 firefox-bin      1.9;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 12:00:07,31,15.40,66%,0,"9396542 4305302","   9676 cinnamon-screen 46.0;   1859 cinnamon        28.1;   9677 systemd-journal 23.0;|   6809 firefox-bin      4.2;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,205,"OK","",NU_RULEAZA
2025-07-07 12:01:08,11,16.19,66%,0,"12221753 4372673","   1859 cinnamon        27.9;   1295 Xorg             2.7;   6809 firefox-bin      1.7;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:02:09,0,16.13,66%,0,"12228468 4376575","   1859 cinnamon        27.6;   1295 Xorg             2.6;   6809 firefox-bin      1.7;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:03:11,0,16.14,66%,0,"12228927 4377158","   1859 cinnamon        27.3;   1295 Xorg             2.6;   6809 firefox-bin      1.6;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:04:12,0,16.15,66%,0,"12229962 4378479","   1859 cinnamon        27.0;   1295 Xorg             2.6;   6809 firefox-bin      1.6;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:05:13,1,16.16,66%,0,"12230526 4378651","   1859 cinnamon        26.7;   1295 Xorg             2.6;   6809 firefox-bin      1.6;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,204,"OK","",NU_RULEAZA
2025-07-07 12:06:14,0,16.16,66%,0,"12231723 4379420","   1859 cinnamon        26.4;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,172,"OK","",NU_RULEAZA
2025-07-07 12:07:16,0,16.16,66%,0,"12232158 4380011","   1859 cinnamon        26.1;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:08:17,0,16.17,66%,0,"12232357 4380154","   1859 cinnamon        25.9;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:09:18,0,16.17,66%,0,"12232556 4380297","   1859 cinnamon        25.6;   1295 Xorg             2.5;   6809 firefox-bin      1.5;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
2025-07-07 12:10:19,0,16.17,66%,0,"12233180 4380529","   1859 cinnamon        25.3;   1295 Xorg             2.4;   6809 firefox-bin      1.4;|   6809 firefox-bin      4.7;   1859 cinnamon         2.6;   7033 Isolated Web Co  2.4;",25,3,171,"OK","",NU_RULEAZA
